기계재료,2020년 ,2학기,기계공학부,651000602,전공선택,이석호,학부(1학년),80&20&0&0&0&0,30&30&10&30&0&0
논문지도 II,2020년 ,2학기,외국어로서의 한국어교육전공,914203805,연구과제,하윤섭,통합(1학년),10&40&0&0&60&0,0&0&0&0&90&10
거시경제원론,2020년 ,2학기,경제학과,566704303,전공선택,백민희,학부(1학년),100&0&0&0&0&0,20&70&10&0&0&0
집합론,2020년 ,2학기,수학과,596005601,전공선택,이석종,학부(1학년),80&10&0&0&10&0,30&30&10&0&10&20
회계원리,2020년 ,2학기,경영정보학과,620802801,전공필수,김승회,학부(1학년),70&10&10&0&0&10,30&30&10&10&10&10
경영통계학,2020년 ,2학기,경영정보학과,620803501,전공필수,최상현,학부(1학년),60&0&30&0&10&0,35&35&10&0&20&0
경영과 정보기술,2020년 ,2학기,경영정보학과,620806301,전공선택,권순동,학부(1학년),50&10&40&0&0&0,0&70&10&5&15&0
회계원리,2020년 ,2학기,국제경영학과,620903501,전공필수,김숙연,학부(1학년),70&30&0&0&0&0,30&30&20&0&20&0
회계원리,2020년 ,2학기,국제경영학과,620903502,전공필수,미지정,학부(1학년),100&0&0&0&0&0,40&40&10&0&10&0
경제학원론,2020년 ,2학기,국제경영학과,620904401,전공선택,조강필,학부(1학년),80&20&0&0&0&0,30&30&10&0&30&0
경제학원론,2020년 ,2학기,국제경영학과,620904402,전공선택,김상기,학부(1학년),80&10&0&0&0&10,40&50&10&0&10&0
경영통계학,2020년 ,2학기,국제경영학과,620907401,전공선택,이사영,학부(1학년),90&10&0&0&0&0,40&40&10&0&10&0
경영통계학,2020년 ,2학기,국제경영학과,620907402,전공선택,김학건,학부(1학년),0&0&0&0&0&0,0&50&10&0&40&0
경영학원론,2020년 ,2학기,국제경영학과,620907501,전공선택,박현정,학부(1학년),50&20&0&0&30&0,30&30&10&0&30&0
글로벌비즈니스의 이해,2020년 ,2학기,국제경영학과,620910003,전공선택,고정오,학부(1학년),80&10&0&0&10&0,30&40&10&0&10&10
회계원리,2020년 ,2학기,경영학부,621000101,전공필수,배기수,학부(1학년),20&20&20&10&20&10,0&60&10&10&10&10
회계원리,2020년 ,2학기,경영학부,621000102,전공필수,배기수,학부(1학년),20&20&20&10&20&10,0&60&10&10&10&10
회계원리,2020년 ,2학기,경영학부,621000103,전공필수,강수진,학부(1학년),100&0&0&0&0&0,45&45&10&0&0&0
회계원리,2020년 ,2학기,경영학부,621000104,전공필수,이규진,학부(1학년),100&0&0&0&0&0,40&40&10&0&5&5
경영학원론,2020년 ,2학기,경영학부,621000701,전공선택,김학수,학부(1학년),80&10&.&.&.&10,00&75&15&.&10&.
경영학원론,2020년 ,2학기,경영학부,621000702,전공선택,김혜숙,학부(1학년),100&0&0&0&0&0,25&25&10&20&20&0
경제학원론,2020년 ,2학기,경영학부,621000801,전공선택,강상구,학부(1학년),100&0&0&0&0&0,40&50&10&0&0&0
기계재료,2020년 ,2학기,기계공학부,651000601,전공선택,조정호,학부(1학년),80&20&0&0&0&0,30&30&10&30&0&0
공학수학 I,2020년 ,2학기,기계공학부,651007001,전공필수,김용연,학부(1학년),80&0&0&0&10&10,25&25&10&20&0&20
공학수학 I,2020년 ,2학기,기계공학부,651007002,전공필수,조정호,학부(1학년),80&20&0&0&0&0,30&30&10&40&0&0
창의공학설계입문,2020년 ,2학기,기계공학부,651009801,전공선택,이석호,학부(1학년),10&30&0&0&40&20,0&0&0&0&100&0
컴퓨터응용설계,2020년 ,2학기,기계공학부,651010101,전공선택,신종호,학부(1학년),40&0&60&0&0&0,35&35&5&0&25&0
컴퓨터응용설계,2020년 ,2학기,기계공학부,651010102,전공선택,신종호,학부(1학년),40&0&60&0&0&0,35&35&5&0&25&0
경제성공학,2020년 ,2학기,토목공학부,654500101,전공선택,정근채,학부(1학년),70&30&0&0&0&0,32&32&20&0&16&0
공학역학,2020년 ,2학기,토목공학부,654500201,전공선택,이재석,학부(1학년),100&0&0&0&0&0,40&40&10&0&10&0
공학역학,2020년 ,2학기,토목공학부,654500202,전공선택,이재석,학부(1학년),100&0&0&0&0&0,40&40&10&0&10&0
공학역학,2020년 ,2학기,토목공학부,654500203,전공선택,우경식,학부(1학년),100&0&0&0&0&0,40&40&10&0&10&0
공학수학,2020년 ,2학기,건축공학과,654601901,전공선택,이창준,학부(1학년),0&0&0&0&0&0,0&0&0&0&0&0
건축일반구조,2020년 ,2학기,건축공학과,654602001,전공필수,김옥규,학부(1학년),50&30&0&10&0&10,20&20&10&0&30&20
CAD 및 실습,2020년 ,2학기,건축공학과,654609301,전공선택,정운성,학부(1학년),0&0&0&0&0&0,30&35&15&0&20&0
CAD 및 실습,2020년 ,2학기,건축공학과,654609302,전공선택,이득행,학부(1학년),20&20&20&0&40&0,35&40&15&0&10&0
기초설계이해,2020년 ,2학기,건축공학과,654613601,전공선택,신희락,학부(1학년),50&0&40&10&0&0,30&50&10&0&10&0
도시통계학,2020년 ,2학기,도시공학과,654710801,전공선택,성현곤,학부(1학년),60&0&40&0&0&0,20&30&20&30&0&0
화학공학입문,2020년 ,2학기,화학공학과,655028101,전공선택,문종호,학부(1학년),80&0&0&0&20&0,30&30&10&0&10&20
초급설계 II,2020년 ,2학기,건축학과,655100301,전공필수,변나향,학부(1학년),10&0&90&0&0&0,0&0&10&0&80&10
초급설계 II,2020년 ,2학기,건축학과,655100302,전공필수,홍유선,학부(1학년),10&0&90&0&0&0,0&0&10&0&80&10
초급설계 II,2020년 ,2학기,건축학과,655100303,전공필수,박성일,학부(1학년),10&0&90&0&0&0,0&0&10&0&80&10
건축학개론,2020년 ,2학기,건축학과,655100401,전공선택,심규영,학부(1학년),70&30&0&0&0&0,0&30&10&0&60&0
공업화학입문,2020년 ,2학기,공업화학과,655222401,전공선택,박준성,학부(1학년),100&0&0&0&0&0,40&40&10&0&10&0
농업경제학,2020년 ,2학기,농업경제학과,690300101,전공필수,윤병삼,학부(1학년),80&0&0&0&20&0,40&40&10&0&10&0
실험통계학,2020년 ,2학기,지역건설공학과,697001001,전공선택,맹승진,학부(1학년),100&0&0&0&0&0,30&30&10&0&10&20
특용작물이용세미나,2020년 ,2학기,지역건설공학과,697065201,전공선택,조성걸,학부(1학년)(야간학생강좌),0&0&0&0&0&0,30&40&10&0&20&0
식물자원환경화학연습,2020년 ,2학기,식물자원환경화학부,697801501,전공선택,소윤섭,학부(1학년),0&0&0&0&0&0,0&0&0&0&0&0
동물생명공학 총론,2020년 ,2학기,축산학전공,698100201,전공선택,김관석,학부(1학년),20&20&20&0&40&0,35&35&10&0&20&0
교육과문화,2020년 ,2학기,교육학과,740500801,전공선택,유영미,학부(1학년),30&30&0&0&30&10,0&20&10&0&20&50
서양교육사,2020년 ,2학기,교육학과,740502701,전공선택,서범종,학부(1학년),90&10&0&0&0&0,30&40&10&0&20&0
국문학개론,2020년 ,2학기,국어교육과,740600801,전공필수,하윤섭,학부(1학년),90&0&0&0&0&10,35&35&10&10&0&10
국어과 논리 및 논술,2020년 ,2학기,국어교육과,740605401,전공필수,이미순,학부(1학년),100&0&0&0&0&0,0&70&10&0&20&0
영어문법,2020년 ,2학기,영어교육과,740704901,전공필수,강승만,학부(1학년),80&20&0&0&0&0,0&50&30&0&20&0
영어청해,2020년 ,2학기,영어교육과,740706401,전공선택,유범,학부(1학년),30&30&0&0&30&10,20&20&20&0&20&20
영어작문,2020년 ,2학기,영어교육과,740707001,전공선택,양희에리카리,학부(1학년),60&20&10&0&10&0,30&30&10&10&20&0
영어학의 이해,2020년 ,2학기,영어교육과,740762401,전공선택,윤흥섭,학부(1학년),70&30&0&0&0&0,35&35&10&0&0&20
영어교사를 위한 세계시민교육,2020년 ,2학기,영어교육과,740763601,전공선택,한광택,학부(1학년),20&20&30&0&30&0,10&30&20&0&20&20
4차산업혁명과 영어교육의 미래,2020년 ,2학기,영어교육과,740764601,전공선택,한광택,학부(1학년),20&20&30&0&30&0,10&30&20&0&20&20
기초해석학과학교수학,2020년 ,2학기,수학교육과,741205401,전공선택,윤주한,학부(1학년),70&10&0&0&0&0,0&0&0&0&0&0
수학과 논리 및 논술,2020년 ,2학기,수학교육과,741206701,전공필수,조완영,학부(1학년),10&20&0&0&50&20,0&50&10&0&20&20
평생체육론,2020년 ,2학기,체육교육과,741906801,전공선택,민수경,학부(1학년),50&20&10&0&20&0,30&30&10&10&20&0
스키,2020년 ,2학기,체육교육과,741907201,전공선택,,학부(1학년),20&0&0&80&0&0,10&40&50&0&0&0
배드민턴 I,2020년 ,2학기,체육교육과,741909701,전공선택,박종진,학부(1학년),20&10&60&0&10&0,30&40&20&0&10&0
핸드볼 II,2020년 ,2학기,체육교육과,741909801,전공선택,연나현,학부(1학년),10&0&90&0&0&0,20&60&10&0&10&0
정치사회사상개론,2020년 ,2학기,윤리교육과,744022201,전공선택,조일수,학부(1학년),50&30&0&0&0&20,35&35&10&0&10&10
물리교육자료제작 II,2020년 ,2학기,물리교육과,744500901,전공필수,오원근,학부(1학년),0&0&80&0&20&0,0&0&0&0&0&0
일반생물학및실험II,2020년 ,2학기,생물교육과,744700201,전공선택,강상순,학부(1학년),75&0&25&0&0&0,40&40&10&0&10&0
일반생물학및실험II,2020년 ,2학기,공통과학교육전공,744700202,전공선택,이재권,학부(1학년),80&0&20&0&0&0,30&30&20&0&0&20
임해실습I,2020년 ,2학기,생물교육과,744708301,전공선택,이재권,학부(1학년),10&10&0&50&20&10,0&0&30&0&50&20
광물학,2020년 ,2학기,지구과학교육과,744800501,전공선택,이동찬,학부(1학년),60&0&10&30&0&0,40&40&10&0&10&0
일반지구과학및실험II,2020년 ,2학기,지구과학교육과,744801501,전공선택,미지정,학부(1학년),0&0&0&0&0&0,0&0&0&0&0&0
지구과학 및 실험 II,2020년 ,2학기,공통과학교육전공,744808001,전공선택,한신,학부(1학년),50&15&20&5&5&5,25&25&10&5&30&5
인간행동과사회환경,2020년 ,2학기,아동복지학과,770703601,전공선택,김대광,학부(1학년),100&0&0&0&0&0,35&35&10&10&10&0
유아교육론,2020년 ,2학기,아동복지학과,770708601,전공필수,신나리,학부(1학년),70&10&10&10&0&0,35&35&10&0&20&0
인간공학과 디자인,2020년 ,2학기,주거환경학과,771604901,전공선택,최윤정,학부(1학년),.&0&.&.&.&0,.&.&.&0&.&0
주거론,2020년 ,2학기,주거환경학과,771606701,전공필수,이상운,학부(1학년),66&10&0&7&10&7,30&30&10&0&30&0
주거사회문화,2020년 ,2학기,주거환경학과,771606801,전공선택,이현정,학부(1학년),70&0&0&0&30&0,0&60&10&0&10&20
색채와 실내디자인,2020년 ,2학기,주거환경학과,771607701,전공선택,김미경,학부(1학년),40&0&40&5&15&0,0&50&10&0&20&20
유기화학,2020년 ,2학기,식품영양학과,771802201,전공필수,이상미,학부(1학년),100&0&0&0&0&0,40&40&10&10&0&0
인체와 의복,2020년 ,2학기,의류학과,772000301,전공필수,한현숙,학부(1학년),50&0&50&0&0&0,30&0&10&0&60&0
패션 일러스트레이션,2020년 ,2학기,의류학과,772000401,전공선택,권수희,학부(1학년),10&0&90&0&0&0,0&0&10&0&90&0
패션 일러스트레이션,2020년 ,2학기,의류학과,772000402,전공선택,권수희,학부(1학년),10&0&90&0&0&0,0&0&10&0&90&0
패션소재기획실습,2020년 ,2학기,의류학과,772000501,전공선택,최종명,학부(1학년),30&0&40&10&20&0,40&0&10&0&40&10
패션소재기획실습,2020년 ,2학기,의류학과,772000502,전공선택,신주동,학부(1학년),30&0&40&10&20&0,40&0&10&0&40&10
수의바이러스학및실험,2020년 ,2학기,수의학과,800500801,전공필수,미지정,학부(1학년),0&0&0&0&0&0,30&40&10&0&10&10
수의생리학및실험II,2020년 ,2학기,수의학과,800502001,전공필수,이현직,학부(1학년),80&0&20&0&0&0,40&40&10&0&10&0
수의조직학및실험II,2020년 ,2학기,수의학과,800503601,전공필수,김대중,학부(1학년),40&0&30&0&10&10,20&50&10&10&10&0
수의생화학및실험 II,2020년 ,2학기,수의학과,800505801,전공필수,최경철,학부(1학년),70&0&30&0&0&0,35&35&10&10&10&0
수의발생학 및 실험 II,2020년 ,2학기,수의학과,800514401,전공필수,현상환,학부(1학년),70&0&30&0&0&0,35&35&10&0&10&10
수의비교해부학 및 실험,2020년 ,2학기,수의학과,800518201,전공필수,남상윤,학부(1학년),50&0&40&0&10&0,30&40&10&10&10&0
질병의이해,2020년 ,2학기,의학과,860517901,전공필수,이호창,학부(1학년),60&30&5&0&0&5,0&90&10&0&0&0
감염학II,2020년 ,2학기,의학과,860531801,전공필수,김석용,학부(1학년),강의&토의/토론&실험/실습&현장학습&개별/팀별 발표&기타,"상세정보&1. 강의: 전통적인 교수 학습법에 의한 강의 진행
2. 학생실습: 미생물학과 기생충학 실습
3. 토론식 수업: 소그룹토의(증례를 통한 토의 및 발표)&None&None&None&None"
인간과 고통에 대한 이해,2020년 ,2학기,의학과,860545601,전공필수,이상익,학부(1학년),질문에 대한 해법 제시&None&None&None&None&None,상세정보&강의록 및 시청각 교재 활용&None&None&None&None
기초종합세미나,2020년 ,2학기,의학과,860546701,전공필수,김찬형,학부(1학년),90&0&0&0&0&10,0&0&10&0&0&90
유기화학,2020년 ,2학기,의예과,860802601,전공선택,신재섭,학부(1학년),80&20&0&0&0&0,33&33&34&0&0&0
핵심생물학Ⅱ,2020년 ,2학기,의예과,860804001,전공필수,최영기,학부(1학년),80&0&20&0&0&0,45&45&10&0&0&0
의학통계,2020년 ,2학기,의예과,860806001,전공필수,김용대,학부(1학년),60&10&30&0&0&0,40&40&10&0&10&0
의학기초세미나,2020년 ,2학기,의예과,860806101,전공필수,최웅,학부(1학년),20&20&15&0&15&30,None&None&None&None&None&None
해부학,2020년 ,2학기,간호학과,861000101,전공필수,서제훈,학부(1학년),90&0&10&0&0&0,45&45&10&0&0&0
간호학개론,2020년 ,2학기,간호학과,861000601,전공필수,채현이,학부(1학년),100&0&0&0&0&0,35&35&10&10&10&0
사회봉사,2020년 ,2학기,간호학과,861000701,전공선택,이종은,학부(1학년),0&0&0&100&0&0,0&0&0&0&50&50
인간심리의 이해,2020년 ,2학기,간호학과,861008801,전공필수,유하정,학부(1학년),80&20&0&0&0&0,25&25&10&0&20&20
조형예술론,2020년 ,2학기,조형예술학과,870102501,전공선택,한의정,학부(1학년),95&0&0&0&0&5,30&30&10&10&20&0
디자인개론Ⅱ,2020년 ,2학기,디자인학과,870200501,전공필수,김재홍,학부(1학년),20&10&50&0&20&0,-&20&30&0&50&0
평면디자인Ⅱ,2020년 ,2학기,디자인학과,870200701,전공선택,임아재,학부(1학년),20&20&50&0&10&0,0&0&10&0&70&20
입체디자인Ⅱ,2020년 ,2학기,디자인학과,870200801,전공선택,심복섭,학부(1학년),10&0&80&0&0&10,0&0&10&0&80&10
드로잉 II,2020년 ,2학기,서양화전공,870501201,전공선택,김정희,학부(1학년),25&25&15&10&25&0,30&20&30&0&20&0
기초조소 II,2020년 ,2학기,조소전공,870600301,전공선택,이기수,학부(1학년),30&20&50&0&0&0,0&0&10&0&20&70
기초조형 II,2020년 ,2학기,조소전공,870600401,전공선택,서덕현,학부(1학년),20&0&60&10&0&10,0&0&30&0&60&10
조형예술과 포트폴리오,2020년 ,2학기,조소전공,870602001,전공선택,이선구,학부(1학년),30&30&30&10&0&0,0&0&30&0&10&60
국어문법론연구,2020년 ,2학기,국어교육전공,910800601,전공,김경열,통합(1학년),90&10&0&0&0&0,35&35&20&0&0&10
한국현대희곡연구,2020년 ,2학기,국어교육전공,910804201,전공,이미순,통합(1학년),100&0&0&0&0&0,0&70&10&0&20&0
논문지도 I,2020년 ,2학기,국어교육전공,910804301,연구과제,박재승,통합(1학년),0&50&0&0&40&10,0&0&20&0&30&50
논문지도 I,2020년 ,2학기,국어교육전공,910804302,연구과제,김진식,통합(1학년),50&50&0&0&0&0,0&0&10&0&30&60
논문지도 I,2020년 ,2학기,국어교육전공,910804303,연구과제,이미순,통합(1학년),0&0&0&0&0&0,0&0&0&0&0&0
논문지도 I,2020년 ,2학기,국어교육전공,910804304,연구과제,정충권,통합(1학년),0&100&0&0&0&0,0&0&0&0&0&100
논문지도 I,2020년 ,2학기,국어교육전공,910804305,연구과제,하윤섭,통합(1학년),10&40&0&0&60&0,0&0&0&0&90&10
논문지도 I,2020년 ,2학기,국어교육전공,910804306,연구과제,김경열,통합(1학년),50&50&0&0&0&0,0&0&0&0&0&0
논문지도 II,2020년 ,2학기,국어교육전공,910804401,연구과제,박재승,통합(1학년),0&50&0&0&40&10,0&0&20&0&30&50
논문지도 II,2020년 ,2학기,국어교육전공,910804402,연구과제,김진식,통합(1학년),50&50&0&0&0&0,0&0&10&0&30&60
구비문학연구,2020년 ,2학기,국어교육전공,910820301,전공,장예준,통합(1학년),30&30&0&0&40&0,30&30&20&0&20&0
의사소통교육론연구,2020년 ,2학기,국어교육전공,910820701,전공,박재승,통합(1학년),90&0&0&0&0&10,0&90&0&0&10&0
